,time,flags_x,ptag,eclipse_x,hvnom_nuv,hvnom_fuv,ra_acs,dec_acs,roll_acs,original_x,eclipse_y,ra,dec,roll,flags_y,frame_type
0,740388229.995,0,53418248,815,0,0,220.85391308859533,8.520237398661994,150.0000473188171,slew,,,,,,slew
1,740388230.995,0,53418248,815,0,0,220.85412704943755,8.519862713837837,149.9998849535293,slew,,,,,,slew
2,740388231.995,0,53418248,815,0,0,220.8544311037708,8.519540038416128,149.99975654763506,slew,,,,,,slew
3,740388232.995,0,53418248,815,0,0,220.85489365464912,8.519206928728556,149.999601205353,slew,,,,,,slew
4,740388233.995,0,53418248,815,0,0,220.8555171208788,8.518860713053204,149.99939022685223,slew,,,,,,slew
5,740388234.995,0,53418248,815,0,0,220.8563289100727,8.51859904582138,149.999085168764,slew,,,,,,slew
6,740388235.995,0,53418248,815,0,0,220.85710371340684,8.51824405579595,149.99879226030617,slew,,,,,,slew
7,740388236.995,0,53418248,815,0,0,220.85803366109562,8.51800299629602,149.99844704535667,slew,,,,,,slew
8,740388237.995,0,53418248,815,0,0,220.85913965407246,8.517710240554038,149.9978750095485,slew,,,,,,slew
9,740388238.995,0,53418248,815,0,0,220.86025383659043,8.517416715543163,149.99739751877172,slew,,,,,,slew
10,740388239.995,0,53418248,815,0,0,220.86143328065756,8.517073180467362,149.996709406657,slew,,,,,,slew
11,740388240.995,0,53418248,815,0,0,220.86260228160532,8.51680138511936,149.99606136732322,slew,,,,,,slew
12,740388241.995,0,53418248,815,0,0,220.8638808408453,8.516441324224841,149.99523899079935,slew,,,,,,slew
13,740388242.995,0,53418248,815,0,0,220.86511930582557,8.516179191661315,149.99450449727772,slew,,,,,,slew
14,740388243.995,0,53418248,815,0,0,220.86634320332857,8.515778341960228,149.993748553313,slew,,,,,,slew
15,740388244.995,0,53418248,815,0,0,220.86737270084686,8.515385806568457,149.99327580019084,slew,,,,,,slew
16,740388245.995,0,53418248,815,0,0,220.8684352551402,8.515091432693284,149.99286018641155,slew,,,,,,slew
17,740388246.995,0,53418248,815,0,0,220.8694899993425,8.515051644585757,149.99266154202306,slew,,,,,,slew
18,740388247.995,0,53418248,815,0,0,220.87050350031114,8.514963983700516,149.99266044995767,slew,,,,,,slew
19,740388248.995,0,53418248,815,0,0,220.8714671950961,8.514965504306685,149.99277907029688,slew,,,,,,slew
20,740388249.995,0,53418248,815,0,0,220.87243259251846,8.515016918751927,149.9929700602815,slew,,,,,,slew
21,740388250.995,0,53418248,815,0,0,220.87322394720542,8.515263409322428,149.99307249815087,slew,,,,,,slew
22,740388251.995,0,53418248,815,0,0,220.87025897980897,8.513604648774605,149.998925729081,slew,,,,,,slew
23,740388252.995,0,53418248,815,0,0,220.86951961258367,8.515508350587282,149.9989055017493,slew,,,,,,slew
24,740388253.995,0,53418248,815,0,0,220.86931025716714,8.51739692243548,149.9977079178284,slew,,,,,,slew
25,740388254.995,0,53418248,815,0,0,220.86867500306323,8.51968500136895,149.9966522069867,slew,,,,,,slew
26,740388255.995,0,53418248,815,0,0,220.8679600765225,8.521792237279978,149.99570930874776,slew,,,,,,slew
27,740388256.995,0,53418248,815,0,0,220.86565938952955,8.52284694877208,149.99707409557766,slew,,,,,,slew
28,740388257.995,0,53418248,815,0,0,220.86368884826314,8.523643164589481,149.99855339340772,slew,,,,,,slew
29,740388258.995,0,53418248,815,0,0,220.86220152934115,8.52447164365926,149.99902840692454,slew,,,,,,slew
30,740388259.995,0,53418248,815,0,0,220.86111566036521,8.525120679343274,149.99926958868375,slew,,,,,,slew
31,740388260.995,0,53418248,815,0,0,220.8601876332989,8.525640619519004,149.99950288344104,slew,,,,,,slew
32,740388261.995,0,53418248,815,0,1,220.85956016737381,8.525987464366743,149.99967579796055,slew,815.0,220.868382752401,8.52979892446215,150.017226531117,49.0,ref
33,740388262.995,0,53418248,815,0,1,220.85911343375858,8.526314655648092,149.9995349174813,slew,815.0,220.86787102216,8.52993079433428,150.017381234144,49.0,ref
34,740388263.995,0,53418248,815,0,1,220.85881576596938,8.526513666437433,149.99937562858008,slew,815.0,220.867361648848,8.52981634533651,150.017490494124,49.0,ref
35,740388264.995,0,53418248,815,0,1,220.85887429037768,8.526748933799357,149.99885621835065,slew,815.0,220.867051953262,8.52970550771835,150.017632562777,49.0,ref
36,740388265.995,0,53418248,815,0,1,220.85890357949418,8.526811369332846,149.99853493611363,slew,815.0,220.866804301012,8.52941276865919,150.017739311116,49.0,ref
37,740388266.995,0,53418248,815,1,1,220.85883033371462,8.526800848602289,149.99842021873044,slew,815.0,220.866616829188,8.52931261880683,150.000756891833,0.0,ref
38,740388267.995,0,53418248,815,1,1,220.85884621975381,8.526536299074284,149.9983566621495,slew,815.0,220.866356723376,8.52894981024142,150.000885085042,0.0,ref
39,740388268.995,0,53418248,815,1,1,220.85904806916665,8.526616909996932,149.99804390942927,slew,815.0,220.866297585061,8.52879065846979,150.001169864018,0.0,ref
40,740388269.995,0,53418248,815,1,1,220.85883785144205,8.52632577482077,149.99850751363553,slew,815.0,220.866068961655,8.52866684264499,150.001550743323,0.0,ref
41,740388270.995,0,53418248,815,1,1,220.85875705576512,8.526248822994345,149.99893124605705,slew,815.0,220.865799181206,8.52849988148391,150.002081157611,0.0,ref
42,740388271.995,0,53418248,815,1,1,220.85868496059638,8.526132799705003,149.9993289427602,slew,815.0,220.865656590507,8.52838704745716,150.002498669782,0.0,ref
43,740388272.995,0,53418248,815,1,1,220.85859983283814,8.526236430191195,149.99954647702785,slew,815.0,220.86546330274,8.52832358021902,150.002824336632,0.0,ref
44,740388273.995,0,53418248,815,1,1,220.85837252777839,8.526098592563983,150.00002192590537,slew,815.0,220.865229516511,8.52826517940285,150.003173479782,0.0,ref
45,740388274.995,0,53418248,815,1,1,220.85828983819218,8.526194015131955,150.00006387544983,slew,815.0,220.864980725714,8.52817751243342,150.003452176566,0.0,ref
46,740388275.995,0,53418248,815,1,1,220.85800075611692,8.525957652745639,150.00044964419823,slew,815.0,220.864693353227,8.52799135632937,150.003612883479,0.0,ref
47,740388276.995,0,53418248,815,1,1,220.85786244218963,8.526026189577108,150.00038238952297,slew,815.0,220.864304500681,8.52782671070747,150.003663681818,0.0,ref
48,740388277.995,0,53418248,815,1,1,220.8576867471579,8.525826867429027,150.0003840168534,slew,815.0,220.863975301063,8.52768258917619,150.003743387733,0.0,ref
49,740388278.995,0,53418248,815,1,1,220.85754121248897,8.525805195525198,150.00032052409279,slew,815.0,220.863676043219,8.52751022676901,150.003713085114,0.0,ref
50,740388279.995,0,53418248,815,1,1,220.8572363603736,8.525559573481939,150.00045362322751,slew,815.0,220.863395239446,8.52731410525649,150.003718111701,0.0,ref
51,740388280.995,0,53418248,815,1,1,220.85697834477733,8.525476854401942,150.00026449990992,slew,815.0,220.863138546815,8.52708509142505,150.003623681701,0.0,ref
52,740388281.995,0,53418248,815,1,1,220.85678948307034,8.525375466557643,150.00026203895652,slew,815.0,220.862889257063,8.5270147784969,150.00352903757,0.0,ref
