,eclipse,obstype,legs,ra_max,ra_min,dec_max,dec_min,fuv_temp
461,2000,unknown,0,323.023236160215,322.409686830758,0.0861920084114301,-0.22897754993621,29.715917518547
464,2003,unknown,0,322.945769349216,322.504477752736,0.284490023010211,-0.15506770510667,29.583089592609
465,2004,CAI,6,322.932154831772,322.489353252739,0.294536320375076,-0.146959313476065,29.7806161984655
472,2014,CAI,6,323.025833856474,322.419987884188,0.391779622584191,-0.225109585140651,29.5658873933353
3477,6797,CAI,6,323.021274871407,322.448002534237,0.383714096329196,-0.182651414151913,28.1879784410317
3478,6798,CAI,6,323.021501589819,322.41395063473,0.390391214706131,-0.222848591522719,27.9684291457838
3479,6799,CAI,6,322.95390449916,322.473499976381,0.407928806253579,-0.139660049842238,29.2186834623376
3483,6803,CAI,6,322.937149424634,322.490171677806,0.296298601651621,-0.1364401010734,28.9731463976433
7296,11997,CAI,6,323.571143366853,323.12928738683,0.768550640846875,0.327989059894345,
7430,12132,CAI,12,323.650589253213,322.524384657419,0.793053711510818,-0.282165437379833,27.3972434997559
7431,12133,CAI,10,323.400184221952,322.737630588559,0.596717458354165,-0.082264889662839,28.1439791785346
7432,12134,CAI,10,323.553948031784,322.57925117616,0.767019143036177,-0.247710652870174,28.123815536499
7433,12135,CAI,5,323.11568826442,323.002344323163,0.324458687203249,0.174631433695961,27.0587804483813
7434,12136,CAI,12,323.619013380596,322.531580982725,0.813673830610196,-0.268894089761483,26.9293346405029
7435,12137,CAI,10,323.549405575802,322.585769181629,0.672795433244526,-0.252149589613059,27.0334224700928
7436,12138,CAI,10,323.549864930037,322.595069568797,0.773820304565141,-0.253013852118533,27.3972434997559
7437,12139,unknown,0,323.330578255029,322.771429397946,0.544477141641952,0.0057652876544416,28.123815536499
7438,12140,CAI,10,323.247812270384,322.889206852924,0.427406545828759,0.0795804098549647,27.7606754302979
7439,12141,CAI,12,323.477606703692,322.636575771307,0.671570453163443,-0.141886976613084,27.7415474339535
7444,12146,CAI,12,323.492765678169,322.588920583007,0.686573569662803,-0.145712391457353,
7445,12147,CAI,12,323.313001592908,322.815077770474,0.476407395172807,-0.0022440172104507,28.123815536499
7446,12148,CAI,12,323.613558811948,322.536524255296,0.78408503520024,-0.286813147846056,27.7606754302979
7447,12149,unknown,0,323.490134507386,322.640270042555,0.701828864686671,-0.163211630812268,27.3972434997559
7448,12150,unknown,0,323.328400070385,322.819625783368,0.512202483406847,-0.0183116625118892,28.0511875152588
7449,12151,CAI,12,323.730645957625,322.64139125094,0.896113678015821,-0.144371502987609,28.123815536499
7452,12154,CAI,10,323.581414290468,322.573997080765,0.758669762465589,-0.251764568486287,27.7606754302979
7453,12155,CAI,10,323.379266333514,322.697071990201,0.597994078151264,-0.0841601458833628,28.123815536499
7454,12156,CAI,10,323.403961753814,322.74870603944,0.588564378514862,-0.0917328989923631,28.123815536499
7455,12157,CAI,10,323.552548911775,322.57492551046,0.783196167257648,-0.24214234588989,28.1086846987406
7459,12161,CAI,10,323.22866977895,322.885103355106,0.436656952616601,0.0871421906494277,28.4867610931396
7460,12162,CAI,12,323.593819588869,322.536972166207,0.672159352838589,-0.295971663985375,28.5069190131293
7461,12163,CAI,12,323.60426376786,322.528730469115,0.80233142907658,-0.281028103141614,27.7606754302979
7462,12164,CAI,10,323.425083556407,322.73663532594,0.588634728764062,-0.0887840003424425,27.7606754302979
7463,12165,CAI,5,323.181537519881,322.992890850822,0.340175454564257,0.176414295110146,28.4867610931396
7464,12166,CAI,10,323.414807407796,322.755643505046,0.6556680619721,-0.133639339134448,28.8496036529541
7466,12168,CAI,10,323.252860304863,322.89807292657,0.427522066924766,0.096472513616851,28.8621152680496
7467,12169,CAI,12,323.653591236844,322.623482818143,0.848455186545893,-0.277972886122225,28.123815536499
7468,12170,CAI,10,323.562176923749,322.574401707515,0.755425746471464,-0.256092290115913,28.123815536499
7469,12171,CAI,10,323.599245731281,322.571730308686,0.766515560329295,-0.241094745882171,28.4867610931396
7474,12176,unknown,0,323.336361326266,322.823550712429,0.505445587714246,0.0007084331554902,28.5126784188407
7475,12177,CAI,12,323.491181704952,322.650094436285,0.676957803786754,-0.152643955770007,28.4867610931396
7476,12178,CAI,12,323.672678851515,322.472632942849,0.790964470111933,-0.282542512364568,28.4867610931396
7477,12179,CAI,10,323.277584548423,322.869347290136,0.641040562297661,0.083689065724487,29.2124404907227
7478,12180,CAI,10,323.389143421263,322.690712319497,0.597770094324366,-0.0787056497989111,29.2124404907227
7479,12181,CAI,12,323.477965233831,322.625253725008,0.662097581871653,-0.157724143086989,29.5753631591797
7481,12183,CAI,10,323.5765208249,322.585057176378,0.757545817336489,-0.260737235889808,28.1128112908566
7482,12184,CAI,12,323.477270753536,322.664392628644,0.66270832383677,-0.140555182772587,28.1024429096895
7488,12190,CAI,10,323.552014949472,322.583203498012,0.826859546221504,-0.255401024175254,29.2124404907227
7489,12191,CAI,10,323.576314320182,322.515468709427,0.758257826885218,-0.15832069030127,28.4867610931396
7490,12192,CAI,12,323.6053916957,322.528448860913,0.783633562295445,-0.280565680105378,28.4867610931396
7491,12193,CAI,10,323.553877826278,322.501224032816,0.753789058294705,-0.163870053367594,28.123815536499
7492,12194,CAI,5,323.154810307036,322.992408351011,0.370607761328469,0.179865035688449,28.4867610931396
7493,12195,CAI,12,323.619582199215,322.469049419773,0.807736486938274,-0.260544636523473,29.5753631591797
7494,12196,CAI,12,323.607672890624,322.674240672145,0.773779317924378,-0.28057526875489,29.5955352783203
7495,12197,CAI,12,323.614684261205,322.529052690721,0.789803030063817,-0.28049617435895,28.8496036529541
7496,12198,CAI,10,323.549770510577,322.585310595516,0.750302071882933,-0.158474136644038,28.8018612108733
7504,12206,CAI,12,323.335420310856,322.799037496887,0.520548132655038,-0.0163719331398126,28.4867610931396
7505,12207,CAI,12,323.618710073794,322.536171422327,0.793305206888156,-0.267058522660871,28.4867610931396
7508,12210,CAI,12,323.469520568667,322.646092646546,0.684777148284415,-0.146512942948123,30.3018283843994
